20250906013216019,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906013155536,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906013120607,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906013008513,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012904849,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012823759,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012642429,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012620472,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012537625,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012453565,M0001,A1,017988016979,IN,********************,******,**,***,****
20250906012432487,M0001,A1,017988016979,IN,********************,******,**,***,****
20250905120616111,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021152800000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153200000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153300000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153400000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153500000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153600000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153700000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153800000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021153900000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021154000000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021154100000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021154200000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021154300000,M0001,A1,017988016979,IN,********************,******,**,***,****
20251021154400000,M0001,A1,017988016979,IN,********************,******,**,***,****
